path_in_A,path_in_B
ObjectData\CapsuleLavaPlanetABloom\tex1_256x256_m_4fb81cc37726ed37_14_mip1.png,MarioGalaxy_Sub\256f353872ed2c9b_lod1.png
ObjectData\CapsuleLavaPlanetABloom\tex1_256x256_m_4fb81cc37726ed37_14_mip2.png,MarioGalaxy_Sub\256f353872ed2c9b_lod2.png
ObjectData\CapsuleLavaPlanetABloom\tex1_256x256_m_4fb81cc37726ed37_14_mip3.png,MarioGalaxy_Sub\256f353872ed2c9b_lod3.png
ObjectData\CapsuleLavaPlanetABloom\tex1_256x256_m_4fb81cc37726ed37_14_mip4.png,MarioGalaxy_Sub\256f353872ed2c9b_lod4.png
ObjectData\CapsuleLavaPlanetB\tex1_256x256_265bd9e5a37b58ac_14.png,ondemand_texture_replace\MarioGalaxy\4826990723402712747.png
ObjectData\Caretaker\tex1_128x128_2f21898f68892497_1.png,ondemand_texture_replace\MarioGalaxy\18127132312716894134.png
ObjectData\Caretaker\tex1_128x128_380bb349cefb9eaa_14.png,ondemand_texture_replace\MarioGalaxy\17887375774285081766.png
ObjectData\CaretakerBroom\tex1_64x64_4a3f5f6c4e5bdc9d_14.png,ondemand_texture_replace\MarioGalaxy\103775787796745683.png
ObjectData\CaretakerHunter\tex1_128x128_ae887717a861d3eb_1.png,ondemand_texture_replace\MarioGalaxy\9918849210220514568.png
ObjectData\CaretakerHunter\tex1_128x128_b8271c155ce42420_14.png,ondemand_texture_replace\MarioGalaxy\5123175799512683838.png
ObjectData\CaveInPartsBig\tex1_256x256_2bfa043aab52b207_14.png,ondemand_texture_replace\MarioGalaxy\13636536058820376418.png
ObjectData\ChallengeGliderStartPlanet\tex1_128x128_10a5011f60070227_0.png,ondemand_texture_replace\MarioGalaxy\12505804770025102192.png
ObjectData\ChallengeGliderStartPlanet\tex1_128x128_43aacbf1bd24c517_14.png,ondemand_texture_replace\MarioGalaxy\11538354072319695652.png
ObjectData\ChallengeGliderStartPlanet\tex1_128x128_49840bf60f47fb63_14.png,ondemand_texture_replace\MarioGalaxy\5602748637804692630.png
ObjectData\ChallengeGliderStartPlanet\tex1_128x128_7d9db70f12567153_14.png,ondemand_texture_replace\MarioGalaxy\13004854262710984653.png
ObjectData\ChallengeGliderStartPlanet\tex1_128x128_m_a10dfb827dca4c90_0.png,MarioGalaxy_Sub\4a30f3d563f8b365.png
ObjectData\ChallengeGliderStartPlanet\tex1_128x128_m_a10dfb827dca4c90_0.png,ondemand_texture_replace\MarioGalaxy\16089675975928810740.png
ObjectData\KoopaBattleLv2Planet\tex1_64x64_b280ec6b7e0c5884_0.png,MarioGalaxy_Sub\4a30f3d563f8b365.png
ObjectData\KoopaBattleLv2Planet\tex1_64x64_b280ec6b7e0c5884_0.png,ondemand_texture_replace\MarioGalaxy\16089675975928810740.png
ObjectData\ChallengeGliderStartPlanet\tex1_128x128_m_a10dfb827dca4c90_0_mip1.png,MarioGalaxy_Sub\4a30f3d563f8b365_lod1.png
ObjectData\ChallengeGliderStartPlanet\tex1_128x128_m_a10dfb827dca4c90_0_mip2.png,MarioGalaxy_Sub\4a30f3d563f8b365_lod2.png
ObjectData\ChallengeGliderStartPlanet\tex1_256x256_40a54125556ce24e_2.png,ondemand_texture_replace\MarioGalaxy\9082446824349067072.png
ObjectData\ChallengeGliderStartPlanet\tex1_256x256_bb1e25f1c6a45f36_14.png,ondemand_texture_replace\MarioGalaxy\3363079437733294929.png
ObjectData\ChallengeGliderStartPlanet\tex1_256x256_fa258ca4e9ac6d1c_14.png,ondemand_texture_replace\MarioGalaxy\16872866578815162921.png
ObjectData\ChallengeGliderStartPlanet\tex1_256x256_m_b92e76915b384fc4_14.png,MarioGalaxy\b4fe55e035d59e5a.png
ObjectData\ChallengeGliderStartPlanet\tex1_256x256_m_b92e76915b384fc4_14_mip1.png,MarioGalaxy\b4fe55e035d59e5a_lod1.png
ObjectData\ChallengeGliderStartPlanet\tex1_256x256_m_b92e76915b384fc4_14_mip2.png,MarioGalaxy\b4fe55e035d59e5a_lod2.png
ObjectData\ChallengeGliderStartPlanet\tex1_256x256_m_b92e76915b384fc4_14_mip3.png,MarioGalaxy\b4fe55e035d59e5a_lod3.png
ObjectData\ChallengeGliderStartPlanet\tex1_256x256_m_b92e76915b384fc4_14_mip4.png,MarioGalaxy\b4fe55e035d59e5a_lod4.png
ObjectData\ChallengeGliderStartPlanet\tex1_256x256_m_b92e76915b384fc4_14_mip5.png,MarioGalaxy\b4fe55e035d59e5a_lod5.png
ObjectData\ChangeRoom\tex1_128x128_75ccee9129940ad4_14.png,ondemand_texture_replace\MarioGalaxy\10262391010622504545.png
ObjectData\ChangeRoom\tex1_128x128_cd383f436b3797ad_14.png,ondemand_texture_replace\MarioGalaxy\8069840555269827865.png
ObjectData\ChangeRoom\tex1_128x128_ed38fa45a85344a1_14.png,ondemand_texture_replace\MarioGalaxy\1109679170475693259.png
ObjectData\ChangeRoom\tex1_128x64_ec8193dc106d2556_14.png,ondemand_texture_replace\MarioGalaxy\9622237859591459330.png
ObjectData\ChaosGravityStartPlanet\tex1_128x128_89e16badcc636ca7_14.png,ondemand_texture_replace\MarioGalaxy\9348662556221565456.png
ObjectData\ChaosGravityStartPlanet\tex1_64x64_b29c7c3dc3215f85_14.png,ondemand_texture_replace\MarioGalaxy\3366066691384922179.png
ObjectData\Chorobon\tex1_32x32_040c8339c2e1a80d_1.png,ondemand_texture_replace\MarioGalaxy\3318707605870231088.png
ObjectData\CircleShell\tex1_128x128_2711262887af8b4a_4.png,ondemand_texture_replace\MarioGalaxy\8727169206593751479.png
ObjectData\ClipAppearBattleShip\tex1_128x128_f1fcdce1ca7dd063_14.png,ondemand_texture_replace\MarioGalaxy\5036237473651668697.png
ObjectData\ClipAppearBattleShip\tex1_128x128_m_d4ae892fbdef39ef_14_arb.png,MarioGalaxy\c8b7528bf6aa3d83.png
ObjectData\ClipAppearBattleShip\tex1_128x128_m_d4ae892fbdef39ef_14_arb_mip1.png,MarioGalaxy\c8b7528bf6aa3d83_lod1.png
ObjectData\ClipAppearBattleShip\tex1_256x256_047833f1762b6ae6_14.png,ondemand_texture_replace\MarioGalaxy\17303708731693277966.png
ObjectData\ClipAppearBattleShip\tex1_256x256_768bd31a5bfc9986_14.png,MarioGalaxy\a4d2358a47a146b9.png
ObjectData\ClipAppearBattleShip\tex1_256x256_c44c7b6196beeb5b_14.png,ondemand_texture_replace\MarioGalaxy\6993462342476977.png
ObjectData\ClipAppearBattleShip\tex1_256x256_f5437264a03108e5_14.png,ondemand_texture_replace\MarioGalaxy\18111863711579235259.png
ObjectData\ClipAppearBattleShip\tex1_256x64_57e736f352b623b3_14.png,ondemand_texture_replace\MarioGalaxy\15618907481875907353.png
ObjectData\ClipAppearBattleShip\tex1_256x64_86155176db183e57_14.png,MarioGalaxy\e2e8de4e7ebb8f0d.png
ObjectData\ClipAppearBattleShip\tex1_64x32_162fbcdf6eac99f2_14.png,ondemand_texture_replace\MarioGalaxy\9357178954296523058.png
ObjectData\ClipCutLiftA\tex1_128x128_3741ef9e9ee5faf3_14.png,ondemand_texture_replace\MarioGalaxy\2505402189358861086.png
ObjectData\ClipCutLiftA\tex1_128x128_86a27161b2efe1cf_14.png,ondemand_texture_replace\MarioGalaxy\8931637104295811333.png
ObjectData\ClipCutLiftA\tex1_128x128_a0b14f4ab946cee0_4.png,ondemand_texture_replace\MarioGalaxy\10229370714937348263.png
ObjectData\ClipCutLiftB\tex1_64x64_39582d563c7de698_14.png,ondemand_texture_replace\MarioGalaxy\16232319951202422420.png
ObjectData\ClipCutRoadA\tex1_128x128_a422461df912f405_14.png,ondemand_texture_replace\MarioGalaxy\5716620269741888192.png
ObjectData\ClipCutRoadA\tex1_256x256_b0821283b220fdde_14.png,ondemand_texture_replace\MarioGalaxy\10414622527395462808.png
ObjectData\ClipCutRoadA\tex1_256x256_e666c3176049c967_14.png,ondemand_texture_replace\MarioGalaxy\13495778763346903728.png
ObjectData\ClipCutRoadB\tex1_128x128_1ce263028dcda6a3_14.png,ondemand_texture_replace\MarioGalaxy\13786384139261584251.png
ObjectData\ClipCutRoadPlanet\tex1_128x128_cfd9f5d07fff34b7_4.png,ondemand_texture_replace\MarioGalaxy\115486883343125970.png
ObjectData\ClipCutRoadPlanet\tex1_128x128_d9151b669447c389_14.png,ondemand_texture_replace\MarioGalaxy\15037110929713327842.png
ObjectData\ClipCutRoadPlanet\tex1_128x128_dae1c0795bf07128_14.png,ondemand_texture_replace\MarioGalaxy\7832089953299876276.png
ObjectData\ClipCutRoadPlanet\tex1_128x128_f6ff54d7e0bf6380_14.png,ondemand_texture_replace\MarioGalaxy\14833015515238289157.png
ObjectData\ClipCutRoadPlanet\tex1_256x256_c3b148887a6e85af_14.png,ondemand_texture_replace\MarioGalaxy\679809017520773160.png
ObjectData\ClipCutRoadPlanet\tex1_64x64_4b2106d991da491a_14.png,ondemand_texture_replace\MarioGalaxy\690236030065415590.png
ObjectData\ClipCutRoadPlanet\tex1_64x64_4fbe1d4abe36bbee_14.png,ondemand_texture_replace\MarioGalaxy\13546946020685620894.png
ObjectData\ClipCutRoadPlanet\tex1_64x64_5580a1557f05f306_14.png,ondemand_texture_replace\MarioGalaxy\9520949352728632260.png
ObjectData\ClipCutRoadPlanet\tex1_64x64_6132c31d2634d204_14.png,ondemand_texture_replace\MarioGalaxy\11527760474839842764.png
ObjectData\ClipCutRoadPlanet\tex1_64x64_73d9ee86f2f42826_14.png,ondemand_texture_replace\MarioGalaxy\561553439167834386.png
ObjectData\ClipCutRoadPlanet\tex1_64x64_7efdf34c8eb3c42b_14.png,ondemand_texture_replace\MarioGalaxy\12508633819546118603.png
ObjectData\CloudAcrossValleyCliffPlanet\tex1_128x128_25bce565c2ed1a47_14.png,ondemand_texture_replace\MarioGalaxy\17501543437098611013.png
ObjectData\CloudAcrossValleyCliffPlanet\tex1_128x128_m_d63d392f61e94014_14.png,MarioGalaxy_Sub\364b18f77cc2deeb.png
ObjectData\CloudAcrossValleyCliffPlanet\tex1_128x128_m_d63d392f61e94014_14_mip1.png,MarioGalaxy_Sub\364b18f77cc2deeb_lod1.png
ObjectData\CloudAcrossValleyCliffPlanet\tex1_128x128_m_d63d392f61e94014_14_mip2.png,MarioGalaxy_Sub\364b18f77cc2deeb_lod2.png
ObjectData\CloudAcrossValleyCliffPlanet\tex1_128x128_m_d63d392f61e94014_14_mip3.png,MarioGalaxy_Sub\364b18f77cc2deeb_lod3.png
ObjectData\CloudAcrossValleyCliffPlanet\tex1_256x256_5197752d98c96a32_14.png,ondemand_texture_replace\MarioGalaxy\6735405825154971426.png
ObjectData\CloudAcrossValleyCliffPlanet\tex1_256x256_7176e8b333bb4daa_14.png,ondemand_texture_replace\MarioGalaxy\2177914889703370105.png
ObjectData\CloudAcrossValleyPlanet\tex1_128x128_01c2309c39f55097_5.png,ondemand_texture_replace\MarioGalaxy\4413413719637825906.png
ObjectData\CloudAcrossValleyPlanet\tex1_128x128_4e24c757de9a5f31_4.png,ondemand_texture_replace\MarioGalaxy\2485267972511721954.png
ObjectData\CloudAcrossValleyPlanet\tex1_128x128_92fcf53a70d0028e_14.png,ondemand_texture_replace\MarioGalaxy\70537778106389728.png
ObjectData\CloudAcrossValleyPlanet\tex1_128x128_a76728d84458b6fb_14.png,ondemand_texture_replace\MarioGalaxy\15876142917379715232.png
ObjectData\CloudAcrossValleyPlanet\tex1_128x128_f84f1f8d5c3e5fac_14.png,ondemand_texture_replace\MarioGalaxy\3619957098361523776.png
ObjectData\CloudAcrossValleyPlanet\tex1_128x64_76a73028cc74009c_14.png,ondemand_texture_replace\MarioGalaxy\5710078720199268318.png
ObjectData\CloudAcrossValleyPlanet\tex1_128x64_8ce70d0320321923_14.png,ondemand_texture_replace\MarioGalaxy\5935279639905099716.png
ObjectData\CloudAcrossValleyPlanet\tex1_128x64_f754811569f3a2d4_14.png,MarioGalaxy_Sub\6f92335fc7e6c1d7.png
ObjectData\CloudAcrossValleyPlanet\tex1_64x64_5031c09b244f5736_14.png,ondemand_texture_replace\MarioGalaxy\6505677548944080042.png
ObjectData\CloudClimbMountainPlanet\tex1_128x128_80d18fa2fb31cf3e_5.png,ondemand_texture_replace\MarioGalaxy\15903134973521320921.png
ObjectData\CloudClimbMountainPlanet\tex1_128x64_270d151c8f2d4726_1.png,ondemand_texture_replace\MarioGalaxy\17969166590022400545.png
ObjectData\CloudLuigi\tex1_256x128_67bd68d63d754a5c_14.png,MarioGalaxy\28e18be99d1a7390.png
ObjectData\CloudLuigi\tex1_64x64_30c1137d24a1afef_14.png,MarioGalaxy\3e9833c8e7f287b8.png
ObjectData\CloudMario\tex1_256x128_4935cd3bbb46e75d_14.png,MarioGalaxy\379d646ba96ec1a8.png
ObjectData\CloudMario\tex1_64x64_25f54db2a2f68d4c_14.png,MarioGalaxy\b1150698722ac278.png
ObjectData\CloudSky\tex1_128x64_c855ef3c1838a008_0.png,ondemand_texture_replace\MarioGalaxy\2057730158261996709.png
ObjectData\CloudSky\tex1_256x256_d64529a1d33210d7_1.png,ondemand_texture_replace\MarioGalaxy\13097611700226942902.png
ObjectData\CloudSky\tex1_256x256_m_4efc8ae585c483bc_14.png,MarioGalaxy\cea16e5cc2d42756.png
ObjectData\CloudSky\tex1_256x256_m_4efc8ae585c483bc_14_mip1.png,MarioGalaxy\cea16e5cc2d42756_lod1.png
ObjectData\CloudSky\tex1_256x256_m_4efc8ae585c483bc_14_mip2.png,MarioGalaxy\cea16e5cc2d42756_lod2.png
ObjectData\CloudSky\tex1_256x256_m_4efc8ae585c483bc_14_mip3.png,MarioGalaxy\cea16e5cc2d42756_lod3.png
ObjectData\CloudSky\tex1_256x256_m_4efc8ae585c483bc_14_mip4.png,MarioGalaxy\cea16e5cc2d42756_lod4.png
ObjectData\CloudSky\tex1_256x256_m_4efc8ae585c483bc_14_mip5.png,MarioGalaxy\cea16e5cc2d42756_lod5.png
ObjectData\CloudTunnel\tex1_256x128_929d6270e39cb279_0.png,ondemand_texture_replace\MarioGalaxy\14258272319490321971.png
ObjectData\CloudValleyTowerPlanet\tex1_128x64_bb76e31167faf610_14.png,ondemand_texture_replace\MarioGalaxy\12787603045627161282.png
ObjectData\CloudValleyTowerPlanet\tex1_256x256_3924dde2d48aa072_14.png,ondemand_texture_replace\MarioGalaxy\17547495208725134156.png
ObjectData\CloudValleyTowerPlanet\tex1_256x256_84544579f6e155a0_14.png,ondemand_texture_replace\MarioGalaxy\3386543776682406964.png
ObjectData\CloudValleyTowerPlanet\tex1_256x256_m_7176e8b333bb4daa_14.png,MarioGalaxy_Sub\0c963770a20a6ebb.png
ObjectData\CloudValleyTowerPlanet\tex1_256x256_m_7176e8b333bb4daa_14_mip1.png,MarioGalaxy_Sub\0c963770a20a6ebb_lod1.png
ObjectData\CloudValleyTowerPlanet\tex1_256x256_m_7176e8b333bb4daa_14_mip2.png,MarioGalaxy_Sub\0c963770a20a6ebb_lod2.png
ObjectData\CloudValleyTowerPlanet\tex1_256x256_m_7176e8b333bb4daa_14_mip3.png,MarioGalaxy_Sub\0c963770a20a6ebb_lod3.png
ObjectData\CloudValleyTowerPlanet\tex1_256x256_m_7176e8b333bb4daa_14_mip4.png,MarioGalaxy_Sub\0c963770a20a6ebb_lod4.png
ObjectData\CloudValleyTowerPlanet\tex1_256x256_m_7176e8b333bb4daa_14_mip5.png,MarioGalaxy_Sub\0c963770a20a6ebb_lod5.png
ObjectData\CloudWind2DPlanet\tex1_128x128_f8609b1ea78e1086_14.png,ondemand_texture_replace\MarioGalaxy\17657940128666328387.png
ObjectData\CloudWind2DPlanet\tex1_128x128_m_87b5dbfb749f7e8c_14.png,MarioGalaxy\a70e69514cc20526.png
ObjectData\CloudWind2DPlanet\tex1_128x128_m_87b5dbfb749f7e8c_14_mip1.png,MarioGalaxy\a70e69514cc20526_lod1.png
ObjectData\CloudWind2DPlanet\tex1_128x128_m_87b5dbfb749f7e8c_14_mip2.png,MarioGalaxy\a70e69514cc20526_lod2.png
ObjectData\CloudWind2DPlanet\tex1_128x128_m_87b5dbfb749f7e8c_14_mip3.png,MarioGalaxy\a70e69514cc20526_lod3.png
ObjectData\CloudWind2DPlanet\tex1_64x128_371843d3b09a563a_14.png,ondemand_texture_replace\MarioGalaxy\14844938610067255899.png
ObjectData\CloudWindmill\tex1_128x64_dd9860193e512f99_14.png,ondemand_texture_replace\MarioGalaxy\13122284610063155545.png
ObjectData\CocoNut\tex1_64x64_d4b7fe865a39215e_14.png,ondemand_texture_replace\MarioGalaxy\7635520825436349487.png
ObjectData\CoinBlock2D\tex1_64x64_2a1fe306fee669f1_14.png,ondemand_texture_replace\MarioGalaxy\11907386436420570027.png
ObjectData\CoinInsidePearPlanet\tex1_256x256_0e4a7fb1d4d3ca92_14.png,ondemand_texture_replace\MarioGalaxy\14672558307648715989.png
ObjectData\CoinInsidePearPlanet\tex1_256x256_33b8a61fa467e87c_14.png,ondemand_texture_replace\MarioGalaxy\16868516600367326090.png
ObjectData\CoinInsidePearPlanetCover\tex1_256x256_1dca9a0158d55061_14.png,ondemand_texture_replace\MarioGalaxy\17216396744321392556.png
ObjectData\CoinInsidePearPlanetCover\tex1_256x256_dd77648fb23f81bf_14.png,ondemand_texture_replace\MarioGalaxy\9819684567639881154.png
ObjectData\CoinRoomBrickBrownPlanet\tex1_256x256_ba0f7d6c3b1194dd_14.png,ondemand_texture_replace\MarioGalaxy\1085740190346664273.png
ObjectData\CoinRoomWoodFlatBrownPlanet\tex1_128x128_3ca3ce99cd6a01b9_14.png,ondemand_texture_replace\MarioGalaxy\13953446422523977805.png
ObjectData\CoinRoomWoodFlatBrownPlanet\tex1_128x128_4be39a6ec6097ab2_14.png,ondemand_texture_replace\MarioGalaxy\1057279293279690577.png
ObjectData\CoinRoomWoodFlatBrownPlanet\tex1_128x128_54f94b727b155bc4_14.png,ondemand_texture_replace\MarioGalaxy\2941482727508842826.png
ObjectData\CoinRoomWoodFlatBrownPlanet\tex1_128x128_6f37dbd5487a0f97_14.png,ondemand_texture_replace\MarioGalaxy\11590579652761475466.png
ObjectData\CoinRoomWoodFlatBrownPlanet\tex1_128x128_786132a8a27c7d6e_14.png,ondemand_texture_replace\MarioGalaxy\15277345065531882545.png
ObjectData\CoinRoomWoodFlatBrownPlanet\tex1_128x128_ad1d8fcc37c10cbd_14.png,ondemand_texture_replace\MarioGalaxy\1430216563712615301.png
ObjectData\CollapsePlane\tex1_64x64_85930637c887e46c_0.png,ondemand_texture_replace\MarioGalaxy\18154433063902527683.png
ObjectData\CollapsePlane\tex1_64x64_b0f49ba4c9f5314e_0.png,ondemand_texture_replace\MarioGalaxy\4179550671396623750.png
ObjectData\Creeper\tex1_64x64_76aeeff2490a76db_14.png,ondemand_texture_replace\MarioGalaxy\7262848216232852235.png
ObjectData\CreeperFlower\tex1_64x128_c16412bc1a523865_14.png,ondemand_texture_replace\MarioGalaxy\12140840940715245111.png
ObjectData\CreeperLeaf\tex1_32x128_c7f01b5f30ef88d2_14.png,ondemand_texture_replace\MarioGalaxy\1142208368135128121.png
ObjectData\CrescentSeesawPlanet\tex1_256x256_e7aaba9d1f63d9e8_14.png,ondemand_texture_replace\MarioGalaxy\17482024335771727231.png
ObjectData\CrystalCageOpa\tex1_64x64_df88caa28e706486_0.png,ondemand_texture_replace\MarioGalaxy\10919956347438677668.png
ObjectData\CrystalCageS\tex1_128x64_cf869428f3d9a972_0.png,ondemand_texture_replace\MarioGalaxy\11270372365737115175.png
ObjectData\CylinderLiftMovePlanet\tex1_128x128_345fce76f4f495da_14.png,ondemand_texture_replace\MarioGalaxy\14088561447269696707.png
ObjectData\CylinderLiftMovePlanet\tex1_128x128_61eab27110ebeccc_14.png,ondemand_texture_replace\MarioGalaxy\14605003626332231555.png
ObjectData\CylinderLiftMovePlanet\tex1_128x128_9bf27b0fcb6a268e_14.png,ondemand_texture_replace\MarioGalaxy\449933871343881850.png
ObjectData\CylinderLiftMovePlanet\tex1_256x256_m_39b20500801a0e62_14.png,MarioGalaxy_Sub\5885d85e3692cbb3.png
ObjectData\CylinderLiftMovePlanet\tex1_256x256_m_39b20500801a0e62_14_mip1.png,MarioGalaxy_Sub\5885d85e3692cbb3_lod1.png
ObjectData\CylinderLiftMovePlanet\tex1_256x256_m_39b20500801a0e62_14_mip2.png,MarioGalaxy_Sub\5885d85e3692cbb3_lod2.png
ObjectData\CylinderLiftMovePlanet\tex1_256x256_m_39b20500801a0e62_14_mip3.png,MarioGalaxy_Sub\5885d85e3692cbb3_lod3.png
ObjectData\CylinderLiftMovePlanet\tex1_64x64_66b7c9038305a426_14.png,ondemand_texture_replace\MarioGalaxy\5739978901947517794.png
ObjectData\CylinderLiftMovePlanet\tex1_64x64_7de932b997c53004_1.png,ondemand_texture_replace\MarioGalaxy\17066072664277818875.png
ObjectData\CylinderPushDiskPlanet\tex1_128x128_ee7a21e1b7e7bd48_14.png,ondemand_texture_replace\MarioGalaxy\13044980772000861532.png
ObjectData\CymbalsStep\tex1_64x64_m_6b4ec4f3fa91c0dd_3.png,MarioGalaxy\9c73882129f5c9ca.png
ObjectData\CymbalsStep\tex1_64x64_m_6b4ec4f3fa91c0dd_3_mip1.png,MarioGalaxy\9c73882129f5c9ca_lod1.png
ObjectData\CymbalsStep\tex1_64x64_m_6b4ec4f3fa91c0dd_3_mip2.png,MarioGalaxy\9c73882129f5c9ca_lod2.png
ObjectData\CymbalsStep\tex1_64x64_m_6b4ec4f3fa91c0dd_3_mip3.png,MarioGalaxy\9c73882129f5c9ca_lod3.png
ObjectData\DandelionHillPlanet\tex1_128x128_1fc6edfda15933af_14.png,ondemand_texture_replace\MarioGalaxy\13959078014199874548.png
ObjectData\DandelionHillPlanet\tex1_128x128_4b49b01ccc519edf_14.png,ondemand_texture_replace\MarioGalaxy\3944859188788984784.png
ObjectData\DandelionHillPlanet\tex1_256x256_767393288fb80ef4_14.png,ondemand_texture_replace\MarioGalaxy\3778520194741862645.png
ObjectData\DandelionHillPlanet\tex1_256x256_df3bc05e03d740b1_14.png,ondemand_texture_replace\MarioGalaxy\17043091219992161028.png
ObjectData\DangerSignBoard\tex1_128x128_7dfd7f15e58a6517_14.png,ondemand_texture_replace\MarioGalaxy\12174520392845451520.png
ObjectData\DarknessRoomDoorA\tex1_128x128_11757b90520bdd1f_14.png,ondemand_texture_replace\MarioGalaxy\6813732255412900676.png
ObjectData\DarkSpaceStormSky\tex1_128x64_e799bd979aa43410_1.png,ondemand_texture_replace\MarioGalaxy\9742328272191358329.png
ObjectData\DarkSpaceStormSky\tex1_32x128_d8b3a82c9741cce1_1.png,ondemand_texture_replace\MarioGalaxy\18368118365204277921.png
ObjectData\DarkSpaceStormSky\tex1_512x256_b599d7e2bdd02718_1.png,ondemand_texture_replace\MarioGalaxy\17106106828316718709.png
ObjectData\DashFruit\tex1_32x64_c29d70c57b420c5d_14.png,ondemand_texture_replace\MarioGalaxy\6999309591612758934.png
ObjectData\DashFruit\tex1_64x64_dfd5d93b18814f66_14.png,ondemand_texture_replace\MarioGalaxy\607073894482408416.png
ObjectData\DashFruitStem\tex1_16x32_713caa04ffd2a268_14.png,ondemand_texture_replace\MarioGalaxy\8617097261693581977.png
ObjectData\DashRing\tex1_64x64_f7808248c3cab990_14.png,ondemand_texture_replace\MarioGalaxy\11585817695470616063.png
ObjectData\DashRingWallLeftA\tex1_128x128_b9ea3af0209bbf47_14.png,ondemand_texture_replace\MarioGalaxy\15967937498779584999.png
ObjectData\DashRingWallLeftA\tex1_256x256_aae369da1413c612_14.png,ondemand_texture_replace\MarioGalaxy\10147080177911570309.png
ObjectData\DashYoshiBridgeSlopeCometPlanet\tex1_128x128_a03bd4031bb6d7bb_14.png,ondemand_texture_replace\MarioGalaxy\16782741067003578197.png
ObjectData\DashYoshiBridgeSlopeCometPlanet\tex1_32x32_b3082d4e782ac7e0_14.png,ondemand_texture_replace\MarioGalaxy\5787537361509337885.png
ObjectData\DashYoshiBridgeSlopeCometPlanet\tex1_64x128_48f5fe2e9f638e59_14.png,ondemand_texture_replace\MarioGalaxy\3576415519813035034.png
ObjectData\DashYoshiBridgeSlopeCometPlanet\tex1_64x128_d78acf7e70822ff1_14.png,ondemand_texture_replace\MarioGalaxy\7947260559708416094.png
ObjectData\DashYoshiMoveClimbCometPlanet\tex1_256x128_2c29c45421bcd3c9_14.png,ondemand_texture_replace\MarioGalaxy\3717572619875123649.png
ObjectData\DashYoshiMoveClimbCometPlanet\tex1_256x256_44ddfa94cfa850d9_14.png,ondemand_texture_replace\MarioGalaxy\1066958743962701281.png
ObjectData\DashYoshiMoveClimbPlanet\tex1_256x128_77dd8b34d758572e_14.png,ondemand_texture_replace\MarioGalaxy\2875974993109816657.png
ObjectData\DashYoshiMoveClimbPlanet\tex1_256x256_1ae240819c3afc62_14.png,ondemand_texture_replace\MarioGalaxy\11580381657439427069.png
ObjectData\DashYoshiTimerBridgeCometPartsA\tex1_128x128_86715ac0980b3de4_14.png,ondemand_texture_replace\MarioGalaxy\12510992047283391580.png
ObjectData\DashYoshiTimerBridgeCometPartsA\tex1_256x256_68231e637859842d_14.png,ondemand_texture_replace\MarioGalaxy\15517387212514707702.png
ObjectData\DashYoshiTimerBridgeCometPlanet\tex1_128x128_3b04a8cc4bcd7d28_14.png,ondemand_texture_replace\MarioGalaxy\3429084072577486426.png
ObjectData\DashYoshiTimerBridgeCometPlanet\tex1_128x128_edb3f54a69854c6d_14.png,ondemand_texture_replace\MarioGalaxy\4411797778535436548.png
ObjectData\DashYoshiTimerBridgePartsA\tex1_128x128_e8bc38980178535f_14.png,ondemand_texture_replace\MarioGalaxy\10251641014461715488.png
ObjectData\DashYoshiTimerBridgePartsA\tex1_256x256_74c540aa459ba4f3_14.png,ondemand_texture_replace\MarioGalaxy\11951890725816620083.png
ObjectData\DashYoshiTimerBridgePlanet\tex1_128x128_91300bf2b6f2e371_14.png,ondemand_texture_replace\MarioGalaxy\11037153225271620837.png
ObjectData\DashYoshiTimerBridgePlanet\tex1_128x128_c50d30e5a1bd6529_4.png,MarioGalaxy\44f88f2423cfd88a.png
ObjectData\DashYoshiWallClimbCometPlanet\tex1_256x256_m_c9ea3576d26d7dda_14.png,ondemand_texture_replace\MarioGalaxy\13195263546289678205.png
ObjectData\DashYoshiWallClimbPlanet\tex1_256x256_m_cbb05ce25e622dfb_14.png,ondemand_texture_replace\MarioGalaxy\5914728733122911264.png
ObjectData\DemoEndingNormalSky\tex1_128x128_02e7044602a45d51_4.png,ondemand_texture_replace\MarioGalaxy\7075068156937059194.png
ObjectData\DemoEndingNormalSky\tex1_256x128_ff1b2b41258b0b03_4.png,ondemand_texture_replace\MarioGalaxy\14289152925206132768.png
ObjectData\DemoKoopa\tex1_128x128_48bf14dc9e9a9f07_1.png,ondemand_texture_replace\MarioGalaxy\14099861961294209062.png
ObjectData\DemoKoopa\tex1_128x128_846673321b3f4788_14.png,ondemand_texture_replace\MarioGalaxy\4871137728933196708.png
ObjectData\DemoKoopa\tex1_128x128_ee60b0229a3d16f5_1.png,ondemand_texture_replace\MarioGalaxy\11153057333278481302.png
ObjectData\DemoKoopa\tex1_256x256_91fcb73b668daedb_14.png,ondemand_texture_replace\MarioGalaxy\5583708243561743406.png
ObjectData\DemoKoopa\tex1_256x256_f12a4f12104ccedf_14.png,ondemand_texture_replace\MarioGalaxy\7810016434659351369.png
ObjectData\DemoKoopa\tex1_256x256_f68bcb164495811a_14.png,ondemand_texture_replace\MarioGalaxy\6665074890456120637.png
ObjectData\DemoKoopa\tex1_256x512_11d15449a8077bc5_14.png,ondemand_texture_replace\MarioGalaxy\7022954694110069438.png
